Year,Dropout White,Dropout Black,Dropout Hispanic,Dropout other
2000,18.2,28.8,43.3,22.95
2001,17.9,29.0,42.8,22.8
2002,18.5,27.5,41.6,23.0
2003,17.6,27.7,39.7,19.95
2004,17.2,25.4,39.0,25.75
2005,16.8,26.1,37.9,22.55
2006,16.6,23.3,37.3,21.15
2007,17.2,23.6,34.6,23.799999999999997
2008,15.6,24.1,33.0,23.9
2009,15.4,24.0,31.2,17.25
2010,15.5,23.6,30.8,20.05
2011,15.9,23.7,28.8,19.85
2012,15.8,21.3,26.5,18.3
