Year,African-American,Caucasian,Hispanic,Other
2000,4.366666666666666,9.2,2.1333333333333333,15.766666666666666
2001,4.966666666666667,10.166666666666666,2.6999999999999997,19.633333333333333
2002,4.2,9.8,2.5,17.23333333333333
2003,4.666666666666667,9.933333333333334,2.8666666666666667,13.4375
2004,4.966666666666666,10.299999999999999,2.433333333333333,15.799999999999999
2005,4.6000000000000005,10.566666666666666,3.0,9.585714285714285
2006,4.733333333333333,10.233333333333333,2.933333333333333,12.333333333333334
2007,4.666666666666667,10.466666666666667,3.2000000000000006,13.049999999999999
2008,5.0,11.533333333333333,3.6666666666666665,13.933333333333332
2009,5.733333333333333,11.800000000000002,4.833333333333333,14.116666666666667
2010,5.166666666666667,11.1,4.2,15.166666666666666
2011,5.1000000000000005,11.933333333333332,4.166666666666667,11.56
2012,5.3,11.699999999999998,5.033333333333333,13.042857142857143
2013,5.0,12.933333333333335,4.133333333333333,12.866666666666667
2014,4.733333333333333,13.866666666666665,4.266666666666667,16.34
