,Year,Sex,Percentage
15,2000,Male,26.1
16,2001,Male,26.6
17,2002,Male,25.9
18,2003,Male,25
19,2004,Male,25
20,2005,Male,24.1
21,2006,Male,23.6
22,2007,Male,23.5
23,2008,Male,21.9
24,2009,Male,21.7
25,2010,Male,21.7
26,2011,Male,21.3
27,2012,Male,20.3
28,2013,Male,19.3
29,2014,Male,18.9
