Year,Female,Male
2000,38.61999999999999,34.28
2001,40.28,35.720000000000006
2002,41.14,35.0
2003,42.48333333333333,36.86666666666667
2004,40.35,37.45
2005,43.53333333333333,37.266666666666666
2006,41.0,36.18333333333333
2007,42.2,37.03333333333333
2008,44.0,38.266666666666666
2009,45.166666666666664,40.13333333333333
2010,44.88333333333333,40.75
2011,46.26666666666667,39.78333333333333
2012,45.81666666666666,39.66666666666667
2013,44.51666666666667,41.083333333333336
