Year,"Per Capita Rate per 100,000"
2000,16.950000000000003
2001,16.46
2002,15.997
2003,15.196000000000002
2004,14.591999999999999
2005,13.702
2006,13.370999999999999
2007,13.142999999999999
2008,12.959000000000001
2009,12.802
2010,12.113999999999999
2011,11.395
2012,10.987
